K,Category,Precision,Recall,F1,Accuracy
10,Answer,0.0088,0.0052,0.0065,0.0000
10,Explanation,0.0000,0.0000,0.0000,0.0000
11,Answer,0.0000,0.0000,0.0000,0.0000
11,Explanation,0.0000,0.0000,0.0000,0.0000
12,Answer,0.0069,0.0052,0.0059,0.0000
12,Explanation,0.0000,0.0000,0.0000,0.0000
13,Answer,0.0032,0.0103,0.0049,0.0000
13,Explanation,0.0000,0.0000,0.0000,0.0000
14,Answer,0.0018,0.0052,0.0027,0.0000
14,Explanation,0.0000,0.0000,0.0000,0.0000
15,Answer,0.0000,0.0000,0.0000,0.0000
15,Explanation,0.0000,0.0000,0.0000,0.0000
16,Answer,0.0000,0.0000,0.0000,0.0000
16,Explanation,0.0000,0.0000,0.0000,0.0000
17,Answer,0.0000,0.0000,0.0000,0.0000
17,Explanation,0.0000,0.0000,0.0000,0.0000
18,Answer,0.0000,0.0000,0.0000,0.0000
18,Explanation,0.0000,0.0000,0.0000,0.0000
19,Answer,0.0000,0.0000,0.0000,0.0000
19,Explanation,0.0000,0.0000,0.0000,0.0000
20,Answer,0.0000,0.0000,0.0000,0.0000
20,Explanation,0.0000,0.0000,0.0000,0.0000
21,Answer,0.0000,0.0000,0.0000,0.0000
21,Explanation,0.0000,0.0000,0.0000,0.0000
22,Answer,0.0000,0.0000,0.0000,0.0000
22,Explanation,0.0000,0.0000,0.0000,0.0000
23,Answer,0.0000,0.0000,0.0000,0.0000
23,Explanation,0.0000,0.0000,0.0000,0.0000
24,Answer,0.0000,0.0000,0.0000,0.0000
24,Explanation,0.0000,0.0000,0.0000,0.0000
25,Answer,0.0000,0.0000,0.0000,0.0000
25,Explanation,0.0000,0.0000,0.0000,0.0000
26,Answer,0.0000,0.0000,0.0000,0.0000
26,Explanation,0.0000,0.0000,0.0000,0.0000
27,Answer,0.0000,0.0000,0.0000,0.0000
27,Explanation,0.0000,0.0000,0.0000,0.0000
28,Answer,0.0000,0.0000,0.0000,0.0000
28,Explanation,0.0000,0.0000,0.0000,0.0000
29,Answer,0.0000,0.0000,0.0000,0.0000
29,Explanation,0.0000,0.0000,0.0000,0.0000
30,Answer,0.0000,0.0000,0.0000,0.0000
30,Explanation,0.0000,0.0000,0.0000,0.0000
31,Answer,0.0000,0.0000,0.0000,0.0000
31,Explanation,0.0000,0.0000,0.0000,0.0000
32,Answer,0.0000,0.0000,0.0000,0.0000
32,Explanation,0.0000,0.0000,0.0000,0.0000
33,Answer,0.0000,0.0000,0.0000,0.0000
33,Explanation,0.0000,0.0000,0.0000,0.0000
34,Answer,0.0000,0.0000,0.0000,0.0000
34,Explanation,0.0000,0.0000,0.0000,0.0000
35,Answer,0.0000,0.0000,0.0000,0.0000
35,Explanation,0.0000,0.0000,0.0000,0.0000
36,Answer,0.0000,0.0000,0.0000,0.0000
36,Explanation,0.0000,0.0000,0.0000,0.0000
37,Answer,0.0000,0.0000,0.0000,0.0000
37,Explanation,0.0000,0.0000,0.0000,0.0000
38,Answer,0.0000,0.0000,0.0000,0.0000
38,Explanation,0.0000,0.0000,0.0000,0.0000
39,Answer,0.0000,0.0000,0.0000,0.0000
39,Explanation,0.0000,0.0000,0.0000,0.0000
40,Answer,0.0000,0.0000,0.0000,0.0000
40,Explanation,0.0000,0.0000,0.0000,0.0000
41,Answer,0.0000,0.0000,0.0000,0.0000
41,Explanation,0.0000,0.0000,0.0000,0.0000
42,Answer,0.0000,0.0000,0.0000,0.0000
42,Explanation,0.0000,0.0000,0.0000,0.0000
43,Answer,0.0000,0.0000,0.0000,0.0000
43,Explanation,0.0000,0.0000,0.0000,0.0000
44,Answer,0.0000,0.0000,0.0000,0.0000
44,Explanation,0.0000,0.0000,0.0000,0.0000
45,Answer,0.0000,0.0000,0.0000,0.0000
45,Explanation,0.0000,0.0000,0.0000,0.0000
46,Answer,0.0000,0.0000,0.0000,0.0000
46,Explanation,0.0000,0.0000,0.0000,0.0000
47,Answer,0.0000,0.0000,0.0000,0.0000
47,Explanation,0.0000,0.0000,0.0000,0.0000
48,Answer,0.0000,0.0000,0.0000,0.0000
48,Explanation,0.0000,0.0000,0.0000,0.0000
49,Answer,0.0000,0.0000,0.0000,0.0000
49,Explanation,0.0000,0.0000,0.0000,0.0000
50,Answer,0.0000,0.0000,0.0000,0.0000
50,Explanation,0.0000,0.0000,0.0000,0.0000
51,Answer,0.0000,0.0000,0.0000,0.0000
51,Explanation,0.0000,0.0000,0.0000,0.0000
52,Answer,0.0000,0.0000,0.0000,0.0000
52,Explanation,0.0000,0.0000,0.0000,0.0000
53,Answer,0.0000,0.0000,0.0000,0.0000
53,Explanation,0.0000,0.0000,0.0000,0.0000
54,Answer,0.0000,0.0000,0.0000,0.0000
54,Explanation,0.0000,0.0000,0.0000,0.0000
55,Answer,0.0000,0.0000,0.0000,0.0000
55,Explanation,0.0000,0.0000,0.0000,0.0000
56,Answer,0.0000,0.0000,0.0000,0.0000
56,Explanation,0.0000,0.0000,0.0000,0.0000
57,Answer,0.0000,0.0000,0.0000,0.0000
57,Explanation,0.0000,0.0000,0.0000,0.0000
58,Answer,0.0000,0.0000,0.0000,0.0000
58,Explanation,0.0000,0.0000,0.0000,0.0000
59,Answer,0.0000,0.0000,0.0000,0.0000
59,Explanation,0.0000,0.0000,0.0000,0.0000
60,Answer,0.0000,0.0000,0.0000,0.0000
60,Explanation,0.0000,0.0000,0.0000,0.0000
61,Answer,0.0000,0.0000,0.0000,0.0000
61,Explanation,0.0000,0.0000,0.0000,0.0000
62,Answer,0.0000,0.0000,0.0000,0.0000
62,Explanation,0.0000,0.0000,0.0000,0.0000
63,Answer,0.0000,0.0000,0.0000,0.0000
63,Explanation,0.0000,0.0000,0.0000,0.0000
64,Answer,0.0000,0.0000,0.0000,0.0000
64,Explanation,0.0000,0.0000,0.0000,0.0000
65,Answer,0.0000,0.0000,0.0000,0.0000
65,Explanation,0.0000,0.0000,0.0000,0.0000
66,Answer,0.0000,0.0000,0.0000,0.0000
66,Explanation,0.0000,0.0000,0.0000,0.0000
67,Answer,0.0000,0.0000,0.0000,0.0000
67,Explanation,0.0000,0.0000,0.0000,0.0000
68,Answer,0.0000,0.0000,0.0000,0.0000
68,Explanation,0.0000,0.0000,0.0000,0.0000
69,Answer,0.0000,0.0000,0.0000,0.0000
69,Explanation,0.0000,0.0000,0.0000,0.0000
70,Answer,0.0000,0.0000,0.0000,0.0000
70,Explanation,0.0000,0.0000,0.0000,0.0000
